iter	Logloss
0	0.6018089363
1	0.5020769102
2	0.4472533958
3	0.4096076182
4	0.3625895429
5	0.335351411
6	0.3077176093
7	0.2921075135
8	0.2790148108
9	0.2644623757
10	0.2486163068
11	0.2333942425
12	0.225586841
13	0.2155885729
14	0.2061542401
15	0.2008751285
16	0.1953162066
17	0.1889279917
18	0.1829712562
19	0.1790015638
20	0.1749957279
21	0.1722234232
22	0.1695890189
23	0.167317065
24	0.1629617045
25	0.1611444111
26	0.1574532844
27	0.1557638601
28	0.1543972596
29	0.1527069506
30	0.1513653156
31	0.1499629363
32	0.1490733939
33	0.1479105425
34	0.1452057548
35	0.1444013155
36	0.1415129745
37	0.1405382752
38	0.1385162315
39	0.1375075615
40	0.1367228904
41	0.1361209514
42	0.1349168393
43	0.1343153998
44	0.1328795983
45	0.1323106354
46	0.1315998738
47	0.1307999914
48	0.1294843106
49	0.128799256
50	0.1284536107
51	0.1274517268
52	0.126977324
53	0.1263795617
54	0.1257222478
55	0.1247637728
56	0.1243982786
57	0.1239785269
58	0.123491666
59	0.1230215325
60	0.1227195844
61	0.1222059941
62	0.1213455185
63	0.1199837609
64	0.119062873
65	0.11867762
66	0.1176169878
67	0.1172461938
68	0.1168162925
69	0.1165248715
70	0.1162913934
71	0.1158846878
72	0.1154568269
73	0.1148683141
74	0.1130826172
75	0.1126925941
76	0.112452801
77	0.111698522
78	0.1113330853
79	0.110989599
80	0.1106907404
81	0.1103642213
82	0.1100286183
83	0.1095984157
84	0.1092753994
85	0.1088228979
86	0.108556234
87	0.108302149
88	0.1079441904
89	0.1075623301
90	0.1069195302
91	0.1066770313
92	0.1063335072
93	0.1060077957
94	0.1057567153
95	0.105126794
96	0.1048015995
97	0.1046260818
98	0.104215146
99	0.1038758429
100	0.1037039881
101	0.1033209931
102	0.1032150846
103	0.1028751073
104	0.1027265544
105	0.1021341715
106	0.1018997089
107	0.1017567421
108	0.1014547865
109	0.1012566421
110	0.1009841382
111	0.1003892629
112	0.09981721938
113	0.09967856956
114	0.09955198125
115	0.09938470547
116	0.09888251688
117	0.09875962715
118	0.09840780774
119	0.09823584694
120	0.09792750324
121	0.0978227358
122	0.0976327294
123	0.09737907947
124	0.09724179256
125	0.09712675897
126	0.09700789063
127	0.09689016527
128	0.09677869822
129	0.0966735995
130	0.09654368621
131	0.09636054451
132	0.09613693077
133	0.09601837832
134	0.09591668975
135	0.09580306086
136	0.09570639336
137	0.09557914375
138	0.09551280488
139	0.0953551979
140	0.09521888899
141	0.09502443579
142	0.09496062136
143	0.09479097288
144	0.09472556306
145	0.09460747978
146	0.0940796682
147	0.09389546228
148	0.09376628532
149	0.09339036706
150	0.09334485663
151	0.09316903452
152	0.09300120654
153	0.09265767831
154	0.09238457485
155	0.09233418786
156	0.09207764379
157	0.09187952394
158	0.09168402412
159	0.09146371353
160	0.09137326376
161	0.09130553359
162	0.0912271328
163	0.09101638428
164	0.09082814157
165	0.09073163191
166	0.09063216884
167	0.09052093433
168	0.090426793
169	0.09016776224
170	0.09007365492
171	0.08996291664
172	0.08981914522
173	0.08976496836
174	0.08963843952
175	0.0895695681
176	0.0894953172
177	0.08933075612
178	0.08927778749
179	0.08921879926
180	0.08914508648
181	0.08906190359
182	0.08898757696
183	0.08887286692
184	0.08877083043
185	0.08855103889
186	0.08843088958
187	0.08836822136
188	0.08826493794
189	0.0882371095
190	0.08817431636
191	0.0879680163
192	0.08779544184
193	0.0876668623
194	0.08760017961
195	0.08752177532
196	0.08741342293
197	0.08729281851
198	0.08721707088
199	0.08713511886
200	0.08700944679
201	0.08696039002
202	0.08688147199
203	0.08685117063
204	0.08675651864
205	0.08640413149
206	0.08633676469
207	0.08615128721
208	0.08597408054
209	0.08594168465
210	0.08585035927
211	0.08575600594
212	0.08572865209
213	0.08557471961
214	0.08551883932
215	0.08542837059
216	0.08536091154
217	0.08526617301
218	0.08519860753
219	0.08512361675
220	0.08505312695
221	0.08495725091
222	0.08490887066
223	0.08474717767
224	0.08469363523
225	0.08461786053
226	0.0845305542
227	0.08444852259
228	0.0843801253
229	0.08431516225
230	0.08419501124
231	0.08410477436
232	0.08404085806
233	0.0839587331
234	0.08390379606
235	0.08385438169
236	0.08380701591
237	0.08369571361
238	0.08366304052
239	0.08361549835
240	0.08350931414
241	0.08346518455
242	0.08339504896
243	0.08327906574
244	0.0832418625
245	0.08314638239
246	0.08287600765
247	0.08269670265
248	0.08263948631
249	0.08257238813
250	0.08252891694
251	0.08247195905
252	0.08243313653
253	0.08239770462
254	0.0823524067
255	0.08227289756
256	0.08221171634
257	0.08213348059
258	0.0819642251
259	0.08188936889
260	0.08177523888
261	0.08160530445
262	0.08154567141
263	0.08148121745
264	0.08138138844
265	0.08132984527
266	0.08128345223
267	0.08120211872
268	0.08111316148
269	0.08105871322
270	0.08100939624
271	0.08096519564
272	0.08093624085
273	0.08092164636
274	0.08086040803
275	0.08083957209
276	0.08077222235
277	0.08072466074
278	0.08065980076
279	0.08054133943
280	0.08051417172
281	0.08047922062
282	0.08042571206
283	0.08038507059
284	0.08036434537
285	0.08012767243
286	0.08001370114
287	0.07996694282
288	0.07992004682
289	0.07982497249
290	0.07974972247
291	0.07963899036
292	0.07950961513
293	0.07944712192
294	0.07934856367
295	0.07929446165
296	0.07924895318
297	0.07918119965
298	0.07908701726
299	0.07901529163
300	0.07895691308
301	0.07893067719
302	0.07888032235
303	0.07884046259
304	0.07880355602
305	0.07876293578
306	0.07871081543
307	0.07864606019
308	0.07858928725
309	0.07856443535
310	0.07850476049
311	0.07839683183
312	0.07834302169
313	0.07830950656
314	0.07827794345
315	0.0782418166
316	0.07820950237
317	0.07819618235
318	0.0781277378
319	0.07809280756
320	0.07800638537
321	0.07795857743
322	0.07789922557
323	0.07780553342
324	0.07766330457
325	0.07763772056
326	0.07762495324
327	0.07751059849
328	0.07747193102
329	0.0774623743
330	0.07741873698
331	0.07738543555
332	0.07734134006
333	0.07730342224
334	0.07724999805
335	0.07720679618
336	0.0771798774
337	0.07709754812
338	0.07705049589
339	0.07698154166
340	0.07695343683
341	0.07689706439
342	0.07682707249
343	0.07678985174
344	0.07674639011
345	0.07672260394
346	0.07668530064
347	0.07664658248
348	0.0766238631
349	0.07653913524
350	0.07651780281
351	0.07650801697
352	0.07647727983
353	0.07640419932
354	0.07635122434
355	0.07633464572
356	0.07631835969
357	0.07625717546
358	0.07620471248
359	0.07615595127
360	0.07611416515
361	0.07608984391
362	0.07604373038
363	0.0760370679
364	0.07601069842
365	0.0759893027
366	0.0759590709
367	0.07592669708
368	0.07587004471
369	0.07578612379
370	0.07569963786
371	0.07568836421
372	0.07564811242
373	0.07564672993
374	0.07561875549
375	0.07550435621
376	0.07546142115
377	0.07537064288
378	0.07534939751
379	0.07528305864
380	0.07524636358
381	0.07520379703
382	0.07512808413
383	0.07509393967
384	0.07504822633
385	0.07496672998
386	0.07493628389
387	0.07489574198
388	0.07486585287
389	0.0748080679
390	0.07475486703
391	0.0746993115
392	0.07464945309
393	0.0746225442
394	0.07461680717
395	0.07455384848
396	0.07445735754
397	0.07445384053
398	0.07441139278
399	0.07435796848
400	0.07433417498
401	0.07428959777
402	0.0742633451
403	0.07413807325
404	0.07410861141
405	0.07406115858
406	0.07404678415
407	0.07402410823
408	0.07399361131
409	0.0739776895
410	0.0739271114
411	0.07387014581
412	0.07385200552
413	0.07383235415
414	0.07379757554
415	0.07376348077
416	0.07373842251
417	0.07368385353
418	0.07364971448
419	0.07363541689
420	0.07357502918
421	0.07352549686
422	0.07350015642
423	0.07346521182
424	0.07345661754
425	0.0734444642
426	0.07339829787
427	0.07335933112
428	0.07332129585
429	0.07329062899
430	0.07326349343
431	0.07319900532
432	0.0731823276
433	0.07315867076
434	0.07314249349
435	0.07311218269
436	0.07308802362
437	0.07302665745
438	0.07293549873
439	0.07290583301
440	0.07285089207
441	0.07283024413
442	0.07281413998
443	0.07281413552
444	0.07277475306
445	0.07276230572
446	0.07271675352
447	0.07268798702
448	0.07264630433
449	0.07261066695
450	0.07257129324
451	0.07252385126
452	0.07248345819
453	0.07244175305
454	0.07234998325
455	0.07234879797
456	0.0723342906
457	0.07231003793
458	0.07227849703
459	0.07220480533
460	0.0721813147
461	0.07217319937
462	0.07213028338
463	0.07211048298
464	0.07207228622
465	0.07203509274
466	0.07201711801
467	0.07199920454
468	0.07198870577
469	0.07197440369
470	0.07192319922
471	0.07187714921
472	0.07185157165
473	0.07181175307
474	0.07178481174
475	0.07174489587
476	0.07171921035
477	0.07170122319
478	0.07168590186
479	0.07165754834
480	0.07163676399
481	0.07160564746
482	0.07159675732
483	0.07155789524
484	0.07154286334
485	0.07147932231
486	0.07138486191
487	0.07134951556
488	0.07131439267
489	0.07128518008
490	0.07124494522
491	0.07119380798
492	0.07115503354
493	0.07111227283
494	0.07106428642
495	0.07097887798
496	0.07092145656
497	0.07088563552
498	0.07085966908
499	0.07083486294
500	0.0707684764
501	0.07073251276
502	0.07070544371
503	0.07067484348
504	0.07059978072
505	0.07054996095
506	0.07053262003
507	0.07045249576
508	0.07040942932
509	0.07037812359
