iter	Passed	Remaining
401	8026	11939
402	8084	11976
403	8124	11986
404	8145	11967
405	8162	11942
406	8182	11922
407	8198	11895
408	8212	11867
409	8229	11842
410	8244	11815
411	8260	11788
412	8276	11762
413	8293	11738
414	8308	11711
415	8324	11687
416	8341	11661
417	8359	11639
418	8379	11619
419	8395	11593
420	8409	11565
421	8427	11542
422	8442	11516
423	8456	11487
424	8470	11460
425	8485	11433
426	8499	11405
427	8515	11380
428	8530	11354
429	8546	11328
430	8562	11304
431	8580	11281
432	8596	11256
433	8613	11232
434	8627	11206
435	8643	11180
436	8657	11153
437	8673	11129
438	8689	11104
439	8704	11078
440	8720	11053
441	8736	11029
442	8752	11004
443	8763	10973
444	8786	10958
445	8804	10936
446	8822	10914
447	8841	10893
448	8858	10870
449	8876	10848
450	8894	10826
451	8910	10803
452	8929	10782
453	8951	10765
454	8974	10749
455	8992	10727
456	9008	10703
457	9026	10682
458	9043	10659
459	9059	10634
460	9076	10612
461	9092	10588
462	9108	10564
463	9124	10540
464	9140	10516
465	9156	10493
466	9172	10468
467	9190	10447
468	9207	10425
469	9226	10403
470	9242	10380
471	9258	10356
472	9273	10332
473	9289	10308
474	9304	10283
475	9320	10259
476	9335	10235
477	9349	10210
478	9422	10249
479	9453	10241
480	9471	10219
481	9487	10195
482	9501	10170
483	9518	10147
484	9533	10123
485	9551	10101
486	9567	10077
487	9582	10053
488	9598	10030
489	9614	10006
490	9632	9985
491	9648	9962
492	9666	9940
493	9687	9922
494	9704	9900
495	9725	9882
496	9749	9867
497	9769	9848
498	9794	9833
499	9815	9815
500	9835	9796
501	9863	9784
502	9884	9766
503	9908	9750
504	9927	9731
505	9948	9712
506	9974	9699
507	9998	9683
508	10020	9665
509	10034	9641
510	10051	9618
511	10071	9599
512	10089	9578
513	10106	9556
514	10124	9534
515	10141	9512
516	10158	9490
517	10175	9468
518	10190	9444
519	10207	9422
520	10226	9401
521	10242	9379
522	10260	9357
523	10278	9336
524	10293	9313
525	10309	9290
526	10325	9267
527	10339	9243
528	10356	9221
529	10371	9197
530	10388	9175
531	10403	9152
532	10421	9131
533	10440	9111
534	10465	9096
535	10486	9077
536	10508	9060
537	10531	9043
538	10554	9026
539	10621	9048
540	10646	9033
541	10666	9013
542	10687	8994
543	10709	8976
544	10728	8956
545	10745	8935
546	10763	8913
547	10780	8891
548	10796	8869
549	10811	8845
550	10828	8823
551	10846	8802
552	10864	8782
553	10884	8762
554	10902	8741
555	10923	8723
556	10941	8702
557	10961	8682
558	10979	8661
559	10996	8640
560	11012	8617
561	11029	8596
562	11046	8574
563	11062	8551
564	11078	8529
565	11096	8508
566	11113	8486
567	11130	8465
568	11146	8443
569	11161	8420
570	11177	8397
571	11192	8374
572	11207	8351
573	11222	8328
574	11236	8305
575	11252	8283
576	11267	8260
577	11286	8240
578	11308	8222
579	11326	8202
580	11347	8183
581	11369	8165
582	11392	8148
583	11409	8127
584	11426	8105
585	11448	8088
586	11470	8070
587	11490	8050
588	11512	8033
589	11536	8017
590	11554	7996
591	11569	7973
592	11586	7952
593	11601	7929
594	11617	7907
595	11634	7886
596	11653	7866
597	11670	7845
598	11686	7823
599	11705	7803
600	11720	7781
601	11738	7760
602	11757	7740
603	11775	7720
604	11799	7703
605	11821	7685
606	11838	7664
607	11855	7643
608	11873	7623
609	11892	7603
610	11911	7583
611	11928	7562
612	11947	7542
613	11964	7521
614	11982	7500
615	11997	7478
616	12031	7468
617	12066	7458
618	12089	7441
619	12105	7419
620	12120	7397
621	12137	7376
622	12153	7354
623	12170	7333
624	12187	7312
625	12203	7291
626	12220	7270
627	12237	7248
628	12253	7227
629	12271	7206
630	12288	7185
631	12307	7166
632	12325	7145
633	12341	7124
634	12356	7102
635	12373	7081
636	12388	7059
637	12406	7039
638	12423	7018
639	12441	6998
640	12457	6977
641	12474	6956
642	12491	6935
643	12514	6918
644	12534	6898
645	12550	6877
646	12567	6856
647	12583	6835
648	12601	6815
649	12618	6794
650	12634	6773
651	12650	6752
652	12666	6730
653	12687	6712
654	12702	6690
655	12721	6670
656	12739	6650
657	12754	6629
658	12767	6606
659	12782	6584
660	12797	6563
661	12812	6541
662	12828	6520
663	12844	6499
664	12864	6480
665	12881	6460
666	12900	6440
667	12915	6419
668	12933	6398
669	12947	6377
670	12961	6355
671	12977	6334
672	12992	6312
673	13007	6291
674	13024	6270
675	13040	6250
676	13055	6228
677	13070	6207
678	13089	6188
679	13106	6167
680	13123	6147
681	13138	6126
682	13153	6104
683	13168	6083
684	13185	6063
685	13201	6042
686	13218	6022
687	13235	6001
688	13252	5981
689	13267	5960
690	13285	5940
691	13303	5921
692	13370	5923
693	13410	5912
694	13427	5892
695	13441	5870
696	13459	5851
697	13479	5831
698	13494	5810
699	13509	5789
700	13527	5769
701	13543	5749
702	13561	5729
